Date,Open,High,Low,Close,Volume
2024-09-18,458.0799865722656,459.8399963378906,454.8800048828125,456.6000061035156,3065200
2024-09-19,462.0,462.19000244140625,457.25,459.7099914550781,3891300
2024-09-20,457.760009765625,457.95001220703125,454.04998779296875,455.30999755859375,8468800
2024-09-23,457.30999755859375,459.6499938964844,453.4200134277344,454.9800109863281,3485100
2024-09-24,454.3299865722656,455.6000061035156,451.7699890136719,454.55999755859375,3009900
2024-09-25,454.8999938964844,455.80999755859375,451.2099914550781,452.3599853515625,2843300
2024-09-26,452.739990234375,457.0,451.3399963378906,454.17999267578125,3262000
2024-09-27,456.0400085449219,458.2699890136719,455.0400085449219,457.4700012207031,2728000
2024-09-30,458.3999938964844,460.6300048828125,454.54998779296875,460.260009765625,3631100
2024-10-01,459.1099853515625,459.7900085449219,454.82000732421875,457.4100036621094,3043700
2024-10-02,458.70001220703125,458.70001220703125,454.19000244140625,456.6700134277344,2803400
2024-10-03,455.4700012207031,455.9700012207031,450.9200134277344,452.9599914550781,2564700
2024-10-04,455.010009765625,462.17999267578125,453.80999755859375,461.9700012207031,3090200
2024-10-07,462.3399963378906,462.3399963378906,452.4100036621094,453.5,3222100
2024-10-08,455.9599914550781,457.55999755859375,452.8500061035156,453.79998779296875,2234100
2024-10-09,452.75,457.8800048828125,452.3599853515625,455.8999938964844,2206100
2024-10-10,457.5,457.510009765625,452.7200012207031,454.92999267578125,2375800
2024-10-11,455.8999938964844,463.45001220703125,455.8999938964844,460.2099914550781,3242000
2024-10-14,461.9200134277344,462.0,458.1000061035156,459.9800109863281,2969800
2024-10-15,460.989990234375,466.6600036621094,460.510009765625,462.67999267578125,3929900
2024-10-16,463.25,466.0,462.20001220703125,465.69000244140625,3166300
2024-10-17,466.1000061035156,467.8399963378906,464.2699890136719,465.8500061035156,2520900
2024-10-18,467.0,467.0,463.25,464.79998779296875,5635500
2024-10-21,464.5299987792969,465.7900085449219,461.67999267578125,464.1600036621094,3131500
2024-10-22,464.1099853515625,465.1499938964844,457.6000061035156,461.45001220703125,3315200
2024-10-23,460.1499938964844,463.260009765625,458.75,460.6099853515625,3655200
2024-10-24,460.8999938964844,461.04998779296875,453.9599914550781,457.7699890136719,3793500
2024-10-25,458.6000061035156,459.45001220703125,453.0299987792969,454.010009765625,2838900
2024-10-28,455.5899963378906,459.239990234375,455.0,458.489990234375,4103400
2024-10-29,458.6000061035156,458.9200134277344,454.3900146484375,454.6199951171875,3985200
2024-10-30,454.6700134277344,457.6700134277344,453.82000732421875,454.9599914550781,2692100
2024-10-31,455.19000244140625,456.8399963378906,450.57000732421875,450.9200134277344,3660300
2024-11-01,451.489990234375,455.1199951171875,450.70001220703125,452.1400146484375,2971300
2024-11-04,450.3699951171875,450.70001220703125,437.8999938964844,442.2900085449219,5733200
2024-11-05,442.2900085449219,445.2300109863281,441.1000061035156,445.05999755859375,3154400
2024-11-06,461.0,469.260009765625,459.4800109863281,468.8999938964844,6906800
2024-11-07,468.2699890136719,468.4599914550781,460.1000061035156,460.1300048828125,4238000
2024-11-08,461.9800109863281,466.3500061035156,459.5,463.4100036621094,3541300
2024-11-11,466.010009765625,470.510009765625,464.0,467.3599853515625,4119100
2024-11-12,467.69000244140625,468.4200134277344,465.1499938964844,466.2900085449219,4400500
2024-11-13,466.4100036621094,468.3999938964844,464.0,468.1000061035156,2861700
2024-11-14,468.80999755859375,469.45001220703125,466.0,467.70001220703125,3777300
2024-11-15,466.739990234375,472.260009765625,465.19000244140625,470.2799987792969,5817700
2024-11-18,470.9800109863281,472.6700134277344,468.3599853515625,472.20001220703125,3357100
2024-11-19,470.7699890136719,470.7699890136719,465.010009765625,468.8599853515625,3656200
2024-11-20,470.0,470.6099853515625,466.1099853515625,468.8299865722656,3019500
2024-11-21,469.45001220703125,474.6600036621094,467.0,472.05999755859375,4116800
2024-11-22,472.2699890136719,477.44000244140625,471.6099853515625,476.57000732421875,3885200
2024-11-25,479.1300048828125,482.5,476.7900085449219,477.42999267578125,5246600
2024-11-26,478.20001220703125,479.3999938964844,472.8500061035156,478.55999755859375,3332000
2024-11-27,481.0,491.6700134277344,480.8699951171875,483.0799865722656,5359300
2024-11-29,485.3699951171875,486.010009765625,482.04998779296875,483.0199890136719,2969700
2024-12-02,484.79998779296875,485.0899963378906,474.75,477.3299865722656,5031500
2024-12-03,478.1600036621094,478.29998779296875,468.80999755859375,470.19000244140625,4931600
2024-12-04,471.0899963378906,471.3399963378906,466.5,468.32000732421875,3941100
2024-12-05,468.7799987792969,472.739990234375,468.7200012207031,470.57000732421875,3320200
2024-12-06,470.5799865722656,472.0799865722656,467.82000732421875,470.5,3270900
2024-12-09,470.6000061035156,471.70001220703125,463.4200134277344,463.8699951171875,3748200
2024-12-10,464.4200134277344,464.989990234375,459.5,462.489990234375,3648500
2024-12-11,463.3299865722656,465.4800109863281,458.7699890136719,461.3900146484375,3876900
2024-12-12,462.1600036621094,463.57000732421875,458.0799865722656,458.6300048828125,2571300
2024-12-13,460.510009765625,460.510009765625,457.010009765625,457.8999938964844,3474300
2024-12-16,459.1700134277344,460.4200134277344,454.5799865722656,455.20001220703125,4514000
2024-12-17,454.70001220703125,456.6199951171875,452.05999755859375,455.6600036621094,5057500
2024-12-18,457.05999755859375,458.7300109863281,446.0899963378906,446.5899963378906,4361900
2024-12-19,451.7300109863281,453.79998779296875,448.8900146484375,449.3399963378906,4645200
2024-12-20,449.1099853515625,458.6499938964844,447.19000244140625,453.20001220703125,12943900
2024-12-23,453.19000244140625,454.54998779296875,449.82000732421875,454.3500061035156,3836000
2024-12-24,455.4100036621094,458.989990234375,454.07000732421875,458.6600036621094,1761200
2024-12-26,457.2699890136719,459.4800109863281,455.79998779296875,459.0799865722656,2159600
2024-12-27,457.29998779296875,461.1300048828125,454.4800109863281,456.510009765625,3237700
2024-12-30,454.25,454.69000244140625,449.17999267578125,452.1600036621094,2831400
2024-12-31,452.2099914550781,454.3299865722656,451.1099853515625,453.2799987792969,3380700
2025-01-02,455.9599914550781,456.8900146484375,450.0299987792969,451.1000061035156,3746400
2025-01-03,452.5299987792969,454.5299987792969,450.1199951171875,453.55999755859375,2884600
2025-01-06,453.8500061035156,456.239990234375,450.57000732421875,451.4100036621094,4072900
2025-01-07,452.79998779296875,456.5199890136719,451.1000061035156,452.9200134277344,3507200
2025-01-08,453.6300048828125,454.0,449.6300048828125,451.8399963378906,3933300
2025-01-10,452.6600036621094,453.0,440.1000061035156,442.6600036621094,5471900
2025-01-13,442.0400085449219,445.0,441.1499938964844,443.9100036621094,3639200
2025-01-14,445.5,450.29998779296875,443.9200134277344,450.0299987792969,4055600
2025-01-15,455.54998779296875,459.0899963378906,453.2699890136719,458.510009765625,4719400
2025-01-16,458.92999267578125,462.9599914550781,458.29998779296875,462.80999755859375,3475700
2025-01-17,464.7099914550781,470.17999267578125,462.45001220703125,467.95001220703125,6467000
2025-01-21,471.0,473.1700134277344,467.7200012207031,468.57000732421875,4910200
2025-01-22,468.5899963378906,468.8900146484375,455.2799987792969,460.510009765625,5838500
2025-01-23,461.67999267578125,464.760009765625,458.0,459.8299865722656,4424500
2025-01-24,459.20001220703125,463.80999755859375,457.0799865722656,463.19000244140625,3070300
2025-01-27,464.29998779296875,474.92999267578125,464.29998779296875,474.70001220703125,4535600
2025-01-28,473.92999267578125,473.92999267578125,469.29998779296875,469.9700012207031,3261300
2025-01-29,469.8800048828125,473.9200134277344,468.0,469.260009765625,2524200
2025-01-30,472.20001220703125,474.05999755859375,469.1499938964844,472.3500061035156,2552200
2025-01-31,471.8399963378906,472.54998779296875,467.010009765625,468.6700134277344,5439800
2025-02-03,461.29998779296875,466.739990234375,454.6000061035156,464.6099853515625,4232000
2025-02-04,464.94000244140625,467.9100036621094,462.70001220703125,467.489990234375,3238400
2025-02-05,469.80999755859375,474.239990234375,468.8900146484375,473.7300109863281,3782800
2025-02-06,475.4599914550781,478.0,473.2799987792969,477.2200012207031,3832700
2025-02-07,477.4100036621094,478.25,472.3399963378906,472.739990234375,3205100
2025-02-10,473.9599914550781,474.20001220703125,469.3699951171875,470.1700134277344,2907300
2025-02-11,470.04998779296875,473.04998779296875,466.7200012207031,472.6099853515625,2322600
2025-02-12,470.44000244140625,472.1499938964844,468.0899963378906,471.7300109863281,3297600
2025-02-13,471.54998779296875,481.19000244140625,471.20001220703125,480.489990234375,3274700
2025-02-14,481.4700012207031,484.54998779296875,479.45001220703125,479.5899963378906,2825800
2025-02-18,480.3999938964844,484.05999755859375,477.6300048828125,482.82000732421875,3351000
2025-02-19,482.82000732421875,484.7200012207031,480.67999267578125,483.7699890136719,2436500
2025-02-20,484.1300048828125,484.20001220703125,478.1400146484375,481.79998779296875,2651000
2025-02-21,480.95001220703125,483.6400146484375,477.739990234375,478.739990234375,4085100
